antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
frozenset({'Family'}),frozenset({'Animation'}),0.06092464698895878,0.042559275062684206,0.01884924998900277,0.30938628158844766,7.269538335245665,0.01625634117970274,1.386362157907143,0.9183924164738844
frozenset({'Animation'}),frozenset({'Family'}),0.042559275062684206,0.06092464698895878,0.01884924998900277,0.4428940568475452,7.269538335245664,0.01625634117970274,1.6856315473806722,0.9007760587574134
frozenset({'Fantasy'}),frozenset({'Family'}),0.05087317995865042,0.06092464698895878,0.013482602384199183,0.2650237786424557,4.350025675002849,0.010383171854012633,1.277694877361493,0.8113945187405381
frozenset({'Family'}),frozenset({'Fantasy'}),0.06092464698895878,0.05087317995865042,0.013482602384199183,0.22129963898916968,4.350025675002849,0.010383171854012633,1.218860125876003,0.8200793439013127
frozenset({'Fantasy'}),frozenset({'Adventure'}),0.05087317995865042,0.07689262305898914,0.015000219944573968,0.2948551664504972,3.8346352968645037,0.01108844769420134,1.3091032267716483,0.7788411322109497
frozenset({'Adventure'}),frozenset({'Fantasy'}),0.07689262305898914,0.05087317995865042,0.015000219944573968,0.19508009153318076,3.834635296864503,0.01108844769420134,1.1791568453676469,0.8007941715105817
frozenset({'Mystery'}),"frozenset({'Drama', 'Thriller'})",0.05426032639774777,0.07537500549861435,0.01559407029428584,0.287393595460073,3.812850076214671,0.011504197893698992,1.2975255184498968,0.780055041789111
"frozenset({'Drama', 'Thriller'})",frozenset({'Mystery'}),0.07537500549861435,0.05426032639774777,0.01559407029428584,0.2068864896410855,3.8128500762146706,0.011504197893698992,1.1924392426177035,0.7978683304048617
frozenset({'Adventure'}),frozenset({'Family'}),0.07689262305898914,0.06092464698895878,0.017243654599041043,0.2242562929061785,3.6808796437806177,0.012558998683117058,1.210548463910988,0.7889935960088109
frozenset({'Family'}),frozenset({'Adventure'}),0.06092464698895878,0.07689262305898914,0.017243654599041043,0.28303249097472927,3.6808796437806177,0.012558998683117058,1.287516331382981,0.7755776003487399
"frozenset({'Drama', 'Thriller'})",frozenset({'Crime'}),0.07537500549861435,0.09473012800774205,0.02582149298376809,0.34257367960315144,3.6163117986619184,0.01868120906430009,1.376990613101406,0.782452535657548
frozenset({'Crime'}),"frozenset({'Drama', 'Thriller'})",0.09473012800774205,0.07537500549861435,0.02582149298376809,0.27257952170884603,3.616311798661918,0.01868120906430009,1.271101133519779,0.7991817621056795
frozenset({'Thriller'}),frozenset({'Mystery'}),0.16768574319271543,0.05426032639774777,0.032881713808120355,0.19609129066107034,3.6138981034439497,0.023783030650234703,1.1764267044450272,0.8690112859682902
frozenset({'Mystery'}),frozenset({'Thriller'}),0.05426032639774777,0.16768574319271543,0.032881713808120355,0.6059991892987434,3.6138981034439492,0.023783030650234703,2.1124683863616984,0.7647881365522928
"frozenset({'Drama', 'Mystery'})",frozenset({'Thriller'}),0.025887476355958297,0.16768574319271543,0.01559407029428584,0.6023789294817332,3.5923085529664855,0.011253109582153125,2.0932347868849868,0.7408050488742346
frozenset({'Thriller'}),"frozenset({'Drama', 'Mystery'})",0.16768574319271543,0.025887476355958297,0.01559407029428584,0.09299580272822666,3.5923085529664855,0.011253109582153125,1.07398899208419,0.8670132342262824
"frozenset({'Drama', 'Adventure'})",frozenset({'Action'}),0.02294021906479567,0.1450754409888708,0.011481106761096203,0.5004793863854267,3.4497871105821423,0.00815304436388967,1.711490048077942,0.7267999913406494
frozenset({'Action'}),"frozenset({'Drama', 'Adventure'})",0.1450754409888708,0.02294021906479567,0.011481106761096203,0.07913887204366282,3.449787110582142,0.00815304436388967,1.061028369286896,0.8306312327071179
frozenset({'Adventure'}),frozenset({'Action'}),0.07689262305898914,0.1450754409888708,0.038116394668543524,0.49570938215102966,3.4169076362763366,0.02696116346946966,1.6953013376647232,0.7662572433446196
frozenset({'Action'}),frozenset({'Adventure'}),0.1450754409888708,0.07689262305898914,0.038116394668543524,0.26273499090357794,3.4169076362763366,0.02696116346946966,1.252069968805862,0.8273685748179493
"frozenset({'Action', 'Thriller'})",frozenset({'Crime'}),0.052126864030264376,0.09473012800774205,0.01686974882329653,0.32362869198312233,3.4163227559100626,0.01193176432106742,1.3384214576554283,0.7461838328740129
frozenset({'Crime'}),"frozenset({'Action', 'Thriller'})",0.09473012800774205,0.052126864030264376,0.01686974882329653,0.1780821917808219,3.4163227559100626,0.01193176432106742,1.1532456487631784,0.781300285758606
"frozenset({'Action', 'Crime'})",frozenset({'Thriller'}),0.03008841771873488,0.16768574319271543,0.01686974882329653,0.560672514619883,3.343590838104355,0.011824350136637603,1.8945189738974462,0.7226641645551454
frozenset({'Thriller'}),"frozenset({'Action', 'Crime'})",0.16768574319271543,0.03008841771873488,0.01686974882329653,0.10060335781741868,3.343590838104355,0.011824350136637603,1.0784024942850177,0.842134251058422
frozenset({'Science Fiction'}),frozenset({'Fantasy'}),0.06706110060264814,0.05087317995865042,0.01139312893150926,0.16989176779271892,3.339515397519999,0.00798151749232558,1.143377192534996,0.7509123654890681
frozenset({'Fantasy'}),frozenset({'Science Fiction'}),0.05087317995865042,0.06706110060264814,0.01139312893150926,0.22395157803718113,3.3395153975199987,0.00798151749232558,1.2021658352680082,0.7381051098869095
frozenset({'Adventure'}),frozenset({'Animation'}),0.07689262305898914,0.042559275062684206,0.010755289667003915,0.13987414187643019,3.2865724726376095,0.007482795371945102,1.1131402641772052,0.7536844167101536
